T,H0+H12+H13+H20
S629630,H13
S629631,H13
S629632,H13
S629633,H13
S629634,H13
S629635,H13
S629636,H13
S629637,H13
S629638,H13
S629639,H13
S6362,H11+H13
S630624,H11+H13
S630625,H11+H13
S630626,H13
S630627,H13
S630628,H13
S630629,H13
S631622,H11+H13
S631623,H11+H13
S631624,H11+H13
S631625,H13
S631626,H13
S631627,H13
S631628,H13
S631629,H13
S632622,H11+H13
S632623,H11+H13
S632624,H13
S632625,H13
S632626,H13
S632627,H13
S632628,H13
S632629,H13
S633623,H11+H13
S633624,H13
S633625,H13
S633626,H13
S633627,H13
S633628,H13
S633629,H13
S634623,H11+H13
S634624,H11+H13
S634625,H13
S634626,H13
S634627,H13
S634628,H13
S634629,H13
S635624,H11+H13
S635625,H13
S635626,H13
S635627,H13
S635628,H13
S635629,H13
S636624,H11+H13
S636625,H11+H13
S636626,H13
S636627,H13
S636628,H13
S636629,H13
S637625,H11+H13
S637626,H13
S637627,H13
S637628,H13
S637629,H13
S638621,H11+H13
S638622,H11+H13
S638623,H11+H13
S638624,H11+H13
S638625,H11+H13
S638626,H13
S638627,H13
S638628,H13
S638629,H13
S639620,H11+H13
S639621,H11+H13
S639622,H13
S639623,H13
S639624,H13
S639625,H13
S639626,H13
S639627,H13
S639628,H13
S639629,H13
S6363,H13
S66H,H11+H13
S6264,H11+H13
S620642,H11+H13
S620643,H13
S620644,H13
S620645,H13
S620646,H13
S620647,H13
S620648,H13
S620649,H13
S621642,H11+H13
S621643,H13
S621644,H13
S621645,H13
S621646,H13
S621647,H13
S621648,H13
S621649,H13
S622640,H11+H13
S622641,H11+H13
S622642,H11+H13
S622643,H13
S622644,H13
S622645,H13
S622646,H13
S622647,H13
S622648,H13
S622649,H13
S623640,H13
S623641,H13
S623642,H13
S623643,H13
S623644,H13
S623645,H13
S623646,H13
S623647,H13
S623648,H13
S623649,H13
S624640,H13
S624641,H13
S624642,H13
S624643,H13
S624644,H13
S624645,H13
S624646,H13
S624647,H13
S624648,H13
S624649,H13
S625640,H13
S625641,H13
S625642,H13
S625643,H13
S625644,H13
S625645,H13
S625646,H13
S625647,H13
S625648,H13
S625649,H13
S626640,H13
S626641,H13
S626642,H13
S626643,H13
S626644,H13
S626645,H13
S626646,H13
S626647,H13
S626648,H13
S626649,H13
S627640,H13
S627641,H13
S627642,H13
S627643,H13
S627644,H13
S627645,H13
S627646,H13
S627647,H13
S627648,H13
S627649,H13
S628640,H13
S628641,H13
S628642,H13
S628643,H13
S628644,H13
S628645,H13
S628646,H13
S628647,H13
S628648,H13
S628649,H13
S629640,H13
S629641,H13
S629642,H13
S629643,H13
S629644,H13
S629645,H13
S629646,H13
S629647,H13
S629648,H13
S629649,H13
S6265,H13
S6364,H13
S6365,H13
S66I,H13
S66J,H11+H13
S6268,H11+H13
S620680,H13
S620681,H13
S620682,H13
S620683,H13
S620684,H13
S620685,H13
S620686,H13
S620687,H11+H13
S620688,H11+H13
S620689,H11+H13
S621680,H13
S621681,H13
S621682,H13
S621683,H13
S621684,H13
S621685,H13
S621686,H13
S621687,H13
S621688,H13
S621689,H13
S622680,H13
S622681,H13
S622682,H13
S622683,H13
S622684,H13
S622685,H13
S622686,H13
S622687,H13
S622688,H13
S622689,H13
S623680,H13
S623681,H13
S623682,H13
S623683,H13
S623684,H13
S623685,H13
S623686,H13
S623687,H13
S623688,H13
S623689,H13
S624680,H13
S624681,H13
S624682,H13
S624683,H13
S624684,H13
S624685,H13
S624686,H13
S624687,H13
S624688,H13
S624689,H13
S625680,H13
S625681,H13
S625682,H13
S625683,H13
S625684,H13
S625685,H13
S625686,H13
