S,H0+H6+H7+H10+H11+H12+H13+H14+H18+H19+H20
S099087,H7
S099088,H7
S099089,H7
S0909,H7
S01,H6+H7
S01SW,H6+H7
S01NW,H7
S01SE,H7
S01NE,H7
S01A,H6+H7
S0010,H6+H7
S000100,H7
S000101,H7
S000102,H7
S000103,H7
S000104,H7
S000105,H7
S000106,H7
S000107,H7
S000108,H7
S000109,H7
S001100,H7
S001101,H7
S001102,H7
S001103,H7
S001104,H7
S001105,H7
S001106,H7
S001107,H7
S001108,H7
S001109,H7
S002100,H7
S002101,H7
S002102,H7
S002103,H7
S002104,H7
S002105,H7
S002106,H7
S002107,H7
S002108,H7
S002109,H7
S003100,H7
S003101,H7
S003102,H7
S003103,H7
S003104,H7
S003105,H7
S003106,H7
S003107,H7
S003108,H7
S003109,H7
S004100,H7
S004101,H7
S004102,H7
S004103,H7
S004104,H7
S004105,H7
S004106,H7
S004107,H7
S004108,H7
S004109,H7
S005100,H7
S005101,H7
S005102,H7
S005103,H7
S005104,H7
S005105,H7
S005106,H7
S005107,H7
S005108,H7
S005109,H7
S006100,H6+H7
S006101,H6+H7
S006102,H7
S006103,H7
S006104,H7
S006105,H7
S006106,H7
S006107,H7
S006108,H7
S006109,H7
S007100,H6
S007101,H6+H7
S007102,H7
S007103,H7
S007104,H7
S007105,H7
S007106,H7
S007107,H7
S007108,H7
S007109,H7
S008100,H6+H7
S008101,H6+H7
S008102,H7
S008103,H7
S008104,H7
S008105,H7
S008106,H7
S008107,H7
S008108,H7
S008109,H7
S009100,H6+H7
S009101,H7
S009102,H7
S009103,H7
S009104,H7
S009105,H7
S009106,H7
S009107,H7
S009108,H7
S009109,H7
S0011,H7
S0110,H6+H7
S010100,H6+H7
S010101,H7
S010102,H7
S010103,H7
S010104,H7
S010105,H7
S010106,H7
S010107,H7
S010108,H7
S010109,H7
S011100,H7
S011101,H7
S011102,H7
S011103,H7
S011104,H7
S011105,H7
S011106,H7
S011107,H7
S011108,H7
S011109,H7
S012100,H7
S012101,H7
S012102,H7
S012103,H7
S012104,H7
S012105,H7
S012106,H7
S012107,H7
S012108,H7
S012109,H7
S013100,H7
S013101,H7
S013102,H7
S013103,H7
S013104,H7
S013105,H7
S013106,H7
S013107,H7
S013108,H7
S013109,H7
S014100,H7
S014101,H7
S014102,H7
S014103,H7
S014104,H7
S014105,H7
S014106,H7
S014107,H7
S014108,H7
S014109,H7
S015100,H7
S015101,H7
S015102,H7
S015103,H7
S015104,H7
S015105,H7
S015106,H7
S015107,H7
S015108,H7
S015109,H7
S016100,H7
S016101,H7
S016102,H7
S016103,H7
S016104,H7
S016105,H7
S016106,H7
S016107,H7
S016108,H7
S016109,H7
S017100,H7
S017101,H7
S017102,H7
S017103,H7
S017104,H7
S017105,H7
S017106,H7
S017107,H7
S017108,H7
S017109,H7
S018100,H6+H7
S018101,H7
S018102,H7
S018103,H7
S018104,H7
S018105,H7
S018106,H7
S018107,H7
S018108,H7
S018109,H7
S019100,H6+H7
S019101,H7
S019102,H7
S019103,H7
S019104,H7
S019105,H7
S019106,H7
S019107,H7
S019108,H7
S019109,H7
S0111,H7
S01B,H7
S01C,H7
S01D,H7
S01E,H7
S01F,H6+H7
S0210,H6+H7
S020100,H6+H7
S020101,H6+H7
S020102,H7
S020103,H7
S020104,H7
S020105,H7
S020106,H7
S020107,H7
S020108,H7
S020109,H7
S021100,H6+H7
S021101,H6+H7
S021102,H7
S021103,H7
S021104,H7
S021105,H7
S021106,H7
S021107,H7
S021108,H7
S021109,H7
S022100,H6+H7
S022101,H7
S022102,H7
S022103,H7
