T,H0+H12+H13+H20
T079189,H0
T0719,H0
T01V,H12
T01W,H12
T01X,H0+H12
T0814,H12
T0815,H12
T0914,H12
T0915,H0+H12
T090150,H12
T090151,H12
T090152,H12
T090153,H12
T090154,H12
T090155,H12
T090156,H12
T090157,H12
T090158,H12
T090159,H12
T091150,H12
T091151,H12
T091152,H12
T091153,H12
T091154,H12
T091155,H12
T091156,H12
T091157,H12
T091158,H12
T091159,H12
T092150,H12
T092151,H12
T092152,H12
T092153,H12
T092154,H12
T092155,H12
T092156,H12
T092157,H12
T092158,H12
T092159,H12
T093150,H12
T093151,H12
T093152,H12
T093153,H12
T093154,H12
T093155,H12
T093156,H12
T093157,H12
T093158,H12
T093159,H12
T094150,H12
T094151,H12
T094152,H12
T094153,H12
T094154,H12
T094155,H12
T094156,H12
T094157,H12
T094158,H12
T094159,H12
T095150,H12
T095151,H12
T095152,H12
T095153,H12
T095154,H12
T095155,H12
T095156,H12
T095157,H12
T095158,H12
T095159,H12
T096150,H12
T096151,H12
T096152,H12
T096153,H12
T096154,H12
T096155,H12
T096156,H12
T096157,H12
T096158,H12
T096159,H12
T097150,H12
T097151,H12
T097152,H12
T097153,H12
T097154,H12
T097155,H12
T097156,H12
T097157,H12
T097158,H12
T097159,H12
T098150,H12
T098151,H12
T098152,H12
T098153,H12
T098154,H12
T098155,H12
T098156,H12
T098157,H12
T098158,H12
T098159,H12
T099150,H12
T099151,H12
T099152,H12
T099153,H12
T099154,H12
T099155,H12
T099156,H0+H12
T099157,H0+H12
T099158,H0+H12
T099159,H0+H12
T01Y,H0+H12
T0816,H0+H12
T080160,H12
