X,H0+H5+H6+H12
X052720,H0
X052721,H0
X052722,H0+H5
X052723,H0+H5
X052724,H0+H5
X052725,H0+H5
X052726,H0+H5
X052727,H0+H5
X052728,H5
X052729,H5
X053720,H0
X053721,H0
X053722,H0
X053723,H0+H5
X053724,H5
X053725,H0+H5
X053726,H0+H5
X053727,H0+H5
X053728,H5
X053729,H5
X054720,H0
X054721,H0
X054722,H0
X054723,H0+H5
X054724,H5
X054725,H5
X054726,H5
X054727,H5
X054728,H5
X054729,H5
X055720,H0
X055721,H0
X055722,H0
X055723,H0+H5
X055724,H0+H5
X055725,H5
X055726,H5
X055727,H5
X055728,H5
X055729,H5
X056720,H0
X056721,H0
X056722,H0
X056723,H0
X056724,H0+H5
X056725,H0+H5
X056726,H5
X056727,H5
X056728,H5
X056729,H5
X057720,H0+H5
X057721,H0
X057722,H0
X057723,H0
X057724,H0
X057725,H0+H5
X057726,H5
X057727,H0+H5
X057728,H0+H5
X057729,H5
